drugbank_id,groups,name,type
DB00117,"['investigational', 'nutraceutical']",Histidine,small molecule
DB00118,"['approved', 'investigational', 'nutraceutical']",Ademetionine,small molecule
DB00119,"['approved', 'investigational', 'nutraceutical']",Pyruvic acid,small molecule
DB00120,"['approved', 'investigational', 'nutraceutical']",Phenylalanine,small molecule
DB00121,"['approved', 'investigational', 'nutraceutical']",Biotin,small molecule
DB00122,"['approved', 'nutraceutical']",Choline,small molecule
DB00123,"['approved', 'nutraceutical']",L-Lysine,small molecule
DB00125,"['investigational', 'nutraceutical']",Arginine,small molecule
DB00126,"['approved', 'nutraceutical']",Ascorbic acid,small molecule
DB00127,"['experimental', 'nutraceutical']",Spermine,small molecule
DB00128,"['approved', 'nutraceutical']",Aspartic acid,small molecule
DB00129,"['approved', 'nutraceutical']",Ornithine,small molecule
DB00130,"['approved', 'investigational', 'nutraceutical']",L-Glutamine,small molecule
DB00131,"['approved', 'investigational', 'nutraceutical']",Adenosine phosphate,small molecule
DB00132,"['approved', 'investigational', 'nutraceutical']",alpha-Linolenic acid,small molecule
DB00133,"['investigational', 'nutraceutical']",Serine,small molecule
DB00134,"['approved', 'nutraceutical']",Methionine,small molecule
DB00135,"['approved', 'investigational', 'nutraceutical']",Tyrosine,small molecule
DB00136,"['approved', 'nutraceutical']",Calcitriol,small molecule
DB00137,"['approved', 'investigational', 'nutraceutical']",Lutein,small molecule
DB00138,"['approved', 'nutraceutical']",Cystine,small molecule
DB00139,"['approved', 'nutraceutical']",Succinic acid,small molecule
DB00140,"['approved', 'investigational', 'nutraceutical', 'vet_approved']",Riboflavin,small molecule
DB00141,"['approved', 'investigational', 'nutraceutical']",N-Acetylglucosamine,small molecule
DB00142,"['approved', 'nutraceutical']",Glutamic acid,small molecule
DB00143,"['approved', 'investigational', 'nutraceutical']",Glutathione,small molecule
DB00144,"['investigational', 'nutraceutical']",Phosphatidyl serine,small molecule
DB00145,"['approved', 'nutraceutical', 'vet_approved']",Glycine,small molecule
DB00146,"['approved', 'nutraceutical']",Calcifediol,small molecule
DB00147,"['experimental', 'nutraceutical']",Pyridoxal,small molecule
DB00148,"['approved', 'investigational', 'nutraceutical']",Creatine,small molecule
DB00149,"['investigational', 'nutraceutical']",Leucine,small molecule
DB00150,"['approved', 'nutraceutical', 'withdrawn']",Tryptophan,small molecule
DB00151,"['approved', 'nutraceutical']",Cysteine,small molecule
DB00152,"['approved', 'investigational', 'nutraceutical', 'vet_approved']",Thiamine,small molecule
DB00153,"['approved', 'nutraceutical']",Ergocalciferol,small molecule
DB00154,"['investigational', 'nutraceutical']",Dihomo-gamma-linolenic acid,small molecule
DB00155,"['investigational', 'nutraceutical']",Citrulline,small molecule
DB00156,"['approved', 'nutraceutical']",Threonine,small molecule
DB00157,"['approved', 'nutraceutical']",NADH,small molecule
DB00158,"['approved', 'nutraceutical', 'vet_approved']",Folic acid,small molecule
DB00159,"['approved', 'nutraceutical']",Icosapent,small molecule
DB00160,['nutraceutical'],Alanine,small molecule
DB00161,"['approved', 'nutraceutical']",Valine,small molecule
DB00162,"['approved', 'nutraceutical', 'vet_approved']",Vitamin A,small molecule
DB00163,"['approved', 'nutraceutical', 'vet_approved']",Vitamin E,small molecule
DB00165,"['approved', 'investigational', 'nutraceutical', 'vet_approved']",Pyridoxine,small molecule
DB00166,"['approved', 'investigational', 'nutraceutical']",Lipoic acid,small molecule
DB00167,"['investigational', 'nutraceutical']",Isoleucine,small molecule
DB00168,"['investigational', 'nutraceutical']",Aspartame,small molecule
DB00169,"['approved', 'nutraceutical']",Cholecalciferol,small molecule
DB00170,"['approved', 'nutraceutical']",Menadione,small molecule
DB00171,"['investigational', 'nutraceutical']",ATP,small molecule
DB00172,['nutraceutical'],Proline,small molecule
DB00173,"['approved', 'nutraceutical']",Adenine,small molecule
DB00174,"['approved', 'investigational', 'nutraceutical']",Asparagine,small molecule
DB00175,['approved'],Pravastatin,small molecule
DB00176,"['approved', 'investigational']",Fluvoxamine,small molecule
DB00177,"['approved', 'investigational']",Valsartan,small molecule
DB00178,['approved'],Ramipril,small molecule
DB00179,"['approved', 'investigational']",Masoprocol,small molecule
DB00180,"['approved', 'investigational']",Flunisolide,small molecule
DB00181,['approved'],Baclofen,small molecule
DB00182,"['approved', 'illicit', 'investigational']",Amphetamine,small molecule
DB00183,['approved'],Pentagastrin,small molecule
DB00184,['approved'],Nicotine,small molecule
DB00185,['approved'],Cevimeline,small molecule
DB00186,['approved'],Lorazepam,small molecule
DB00187,['approved'],Esmolol,small molecule
DB00188,"['approved', 'investigational']",Bortezomib,small molecule
DB00189,"['approved', 'illicit', 'withdrawn']",Ethchlorvynol,small molecule
DB00190,['approved'],Carbidopa,small molecule
DB00191,"['approved', 'illicit']",Phentermine,small molecule
DB00192,['approved'],Indecainide,small molecule
DB00193,"['approved', 'investigational']",Tramadol,small molecule
DB00194,"['approved', 'investigational']",Vidarabine,small molecule
DB00195,"['approved', 'investigational']",Betaxolol,small molecule
DB00196,"['approved', 'investigational']",Fluconazole,small molecule
DB00197,"['approved', 'investigational', 'withdrawn']",Troglitazone,small molecule
DB00198,['approved'],Oseltamivir,small molecule
DB00199,"['approved', 'investigational', 'vet_approved']",Erythromycin,small molecule
DB00200,['approved'],Hydroxocobalamin,small molecule
DB00201,['approved'],Caffeine,small molecule
DB00202,['approved'],Succinylcholine,small molecule
DB00203,"['approved', 'investigational']",Sildenafil,small molecule
DB00204,"['approved', 'investigational']",Dofetilide,small molecule
DB00205,"['approved', 'investigational', 'vet_approved']",Pyrimethamine,small molecule
DB00206,"['approved', 'investigational']",Reserpine,small molecule
DB00207,['approved'],Azithromycin,small molecule
DB00208,['approved'],Ticlopidine,small molecule
DB00209,['approved'],Trospium,small molecule
DB00210,['approved'],Adapalene,small molecule
DB00211,['approved'],Midodrine,small molecule
DB00212,['experimental'],Remikiren,small molecule
DB00213,['approved'],Pantoprazole,small molecule
DB00214,['approved'],Torasemide,small molecule
DB00215,['approved'],Citalopram,small molecule
DB00216,"['approved', 'investigational']",Eletriptan,small molecule
DB00217,['approved'],Bethanidine,small molecule
DB00218,"['approved', 'investigational']",Moxifloxacin,small molecule
DB00219,['approved'],Oxyphenonium,small molecule
DB00220,['approved'],Nelfinavir,small molecule
DB00221,['approved'],Isoetharine,small molecule
DB00222,['approved'],Glimepiride,small molecule
DB00223,['approved'],Diflorasone,small molecule
DB00224,['approved'],Indinavir,small molecule
DB00225,"['approved', 'investigational']",Gadodiamide,small molecule
DB00226,['approved'],Guanadrel,small molecule
DB00227,"['approved', 'investigational']",Lovastatin,small molecule
DB00228,"['approved', 'investigational', 'vet_approved']",Enflurane,small molecule
DB00229,"['approved', 'investigational']",Cefotiam,small molecule
DB00230,"['approved', 'investigational']",Pregabalin,small molecule
DB00231,"['approved', 'investigational']",Temazepam,small molecule
DB00232,['withdrawn'],Methyclothiazide,small molecule
DB00233,['approved'],Aminosalicylic acid,small molecule
DB00234,"['approved', 'experimental']",Reboxetine,small molecule
DB00235,['approved'],Milrinone,small molecule
DB00236,['approved'],Pipobroman,small molecule
DB00237,"['approved', 'illicit']",Butabarbital,small molecule
DB00238,['approved'],Nevirapine,small molecule
DB00239,['approved'],Oxiconazole,small molecule
DB00240,['approved'],Alclometasone,small molecule
DB00241,"['approved', 'illicit']",Butalbital,small molecule
DB00242,"['approved', 'investigational']",Cladribine,small molecule
DB00243,"['approved', 'investigational']",Ranolazine,small molecule
DB00244,['approved'],Mesalazine,small molecule
DB00245,['approved'],Benzatropine,small molecule
DB00246,['approved'],Ziprasidone,small molecule
DB00247,['approved'],Methysergide,small molecule
DB00248,['approved'],Cabergoline,small molecule
DB00249,"['approved', 'investigational']",Idoxuridine,small molecule
DB00250,"['approved', 'investigational']",Dapsone,small molecule
DB00251,['approved'],Terconazole,small molecule
DB00252,"['approved', 'vet_approved']",Phenytoin,small molecule
DB00253,['approved'],Medrysone,small molecule
DB00254,"['approved', 'investigational', 'vet_approved']",Doxycycline,small molecule
DB00255,"['approved', 'investigational']",Diethylstilbestrol,small molecule
DB00256,"['approved', 'investigational']",Lymecycline,small molecule
DB00257,"['approved', 'vet_approved']",Clotrimazole,small molecule
DB00258,"['approved', 'investigational']",Calcium acetate,small molecule
DB00259,['approved'],Sulfanilamide,small molecule
DB00260,['approved'],Cycloserine,small molecule
DB00261,['approved'],Anagrelide,small molecule
DB00262,"['approved', 'investigational']",Carmustine,small molecule
DB00263,"['approved', 'vet_approved']",Sulfisoxazole,small molecule
DB00264,"['approved', 'investigational']",Metoprolol,small molecule
DB00265,['approved'],Crotamiton,small molecule
DB00266,['approved'],Dicoumarol,small molecule
DB00267,['approved'],Cefmenoxime,small molecule
DB00268,"['approved', 'investigational']",Ropinirole,small molecule
DB00269,"['investigational', 'withdrawn']",Chlorotrianisene,small molecule
DB00270,"['approved', 'investigational']",Isradipine,small molecule
DB00271,"['approved', 'vet_approved']",Diatrizoate,small molecule
DB00272,['approved'],Betazole,small molecule
DB00273,['approved'],Topiramate,small molecule
DB00274,"['approved', 'investigational']",Cefmetazole,small molecule
DB00275,"['approved', 'investigational']",Olmesartan,small molecule
DB00276,"['approved', 'investigational']",Amsacrine,small molecule
DB00277,['approved'],Theophylline,small molecule
DB00278,"['approved', 'investigational']",Argatroban,small molecule
DB00279,"['approved', 'vet_approved']",Liothyronine,small molecule
DB00280,['approved'],Disopyramide,small molecule
DB00281,"['approved', 'vet_approved']",Lidocaine,small molecule
DB00282,['approved'],Pamidronic acid,small molecule
DB00283,"['approved', 'investigational']",Clemastine,small molecule
DB00284,"['approved', 'investigational']",Acarbose,small molecule
DB00285,['approved'],Venlafaxine,small molecule
DB00286,['approved'],Conjugated estrogens,small molecule
DB00287,['approved'],Travoprost,small molecule
DB00288,['approved'],Amcinonide,small molecule
DB00289,['approved'],Atomoxetine,small molecule
DB00290,"['approved', 'investigational']",Bleomycin,small molecule
DB00291,['approved'],Chlorambucil,small molecule
DB00292,['approved'],Etomidate,small molecule
DB00293,"['approved', 'investigational']",Raltitrexed,small molecule
DB00294,"['approved', 'investigational']",Etonogestrel,small molecule
DB00295,"['approved', 'investigational']",Morphine,small molecule
DB00296,['approved'],Ropivacaine,small molecule
DB00297,"['approved', 'investigational']",Bupivacaine,small molecule
DB00298,['approved'],Dapiprazole,small molecule
DB00299,['approved'],Penciclovir,small molecule
DB00300,"['approved', 'investigational']",Tenofovir disoproxil,small molecule
DB00301,"['approved', 'investigational']",Flucloxacillin,small molecule
DB00302,['approved'],Tranexamic acid,small molecule
DB00303,"['approved', 'investigational']",Ertapenem,small molecule
DB00304,['approved'],Desogestrel,small molecule
DB00305,['approved'],Mitomycin,small molecule
DB00306,"['approved', 'illicit']",Talbutal,small molecule
DB00307,"['approved', 'investigational']",Bexarotene,small molecule
DB00308,['approved'],Ibutilide,small molecule
DB00309,"['approved', 'investigational']",Vindesine,small molecule
DB00310,['approved'],Chlorthalidone,small molecule
DB00311,['withdrawn'],Ethoxzolamide,small molecule
DB00312,"['approved', 'investigational', 'vet_approved']",Pentobarbital,small molecule
DB00313,"['approved', 'investigational']",Valproic acid,small molecule
DB00314,['approved'],Capreomycin,small molecule
DB00315,"['approved', 'investigational']",Zolmitriptan,small molecule
DB00316,['approved'],Acetaminophen,small molecule
DB00317,"['approved', 'investigational']",Gefitinib,small molecule
DB00318,"['approved', 'illicit']",Codeine,small molecule
DB00319,['approved'],Piperacillin,small molecule
DB00320,"['approved', 'investigational']",Dihydroergotamine,small molecule
DB00321,['approved'],Amitriptyline,small molecule
DB00322,['approved'],Floxuridine,small molecule
DB00323,"['approved', 'withdrawn']",Tolcapone,small molecule
DB00324,"['approved', 'investigational']",Fluorometholone,small molecule
DB00325,"['approved', 'investigational']",Nitroprusside,small molecule
DB00326,['approved'],Calcium glucoheptonate,small molecule
DB00327,"['approved', 'illicit']",Hydromorphone,small molecule
DB00328,"['approved', 'investigational']",Indomethacin,small molecule
DB00330,['approved'],Ethambutol,small molecule
DB00331,['approved'],Metformin,small molecule
DB00332,"['approved', 'experimental']",Ipratropium,small molecule
DB00333,['approved'],Methadone,small molecule
DB00334,"['approved', 'investigational']",Olanzapine,small molecule
DB00335,['approved'],Atenolol,small molecule
DB00336,"['approved', 'investigational', 'vet_approved']",Nitrofural,small molecule
DB00337,"['approved', 'investigational']",Pimecrolimus,small molecule
DB00338,"['approved', 'investigational', 'vet_approved']",Omeprazole,small molecule
DB00339,"['approved', 'investigational']",Pyrazinamide,small molecule
DB00340,['approved'],Metixene,small molecule
DB00341,['approved'],Cetirizine,small molecule
DB00342,"['approved', 'withdrawn']",Terfenadine,small molecule
DB00343,"['approved', 'investigational']",Diltiazem,small molecule
DB00344,['approved'],Protriptyline,small molecule
DB00345,"['approved', 'investigational']",Aminohippuric acid,small molecule
DB00346,"['approved', 'investigational']",Alfuzosin,small molecule
DB00347,['approved'],Trimethadione,small molecule
DB00348,"['approved', 'investigational']",Nitisinone,small molecule
DB00349,"['approved', 'illicit']",Clobazam,small molecule
DB00350,"['approved', 'investigational']",Minoxidil,small molecule
DB00351,"['approved', 'investigational', 'vet_approved']",Megestrol acetate,small molecule
DB00352,['approved'],Tioguanine,small molecule
DB00353,['approved'],Methylergometrine,small molecule
DB00354,['approved'],Buclizine,small molecule
DB00355,['approved'],Aztreonam,small molecule
DB00356,['approved'],Chlorzoxazone,small molecule
DB00357,"['approved', 'investigational']",Aminoglutethimide,small molecule
DB00358,"['approved', 'investigational']",Mefloquine,small molecule
DB00359,"['approved', 'investigational', 'vet_approved']",Sulfadiazine,small molecule
DB00360,"['approved', 'investigational']",Sapropterin,small molecule
DB00361,"['approved', 'investigational']",Vinorelbine,small molecule
DB00362,"['approved', 'investigational']",Anidulafungin,small molecule
DB00363,['approved'],Clozapine,small molecule
DB00364,['approved'],Sucralfate,small molecule
DB00365,"['approved', 'investigational', 'withdrawn']",Grepafloxacin,small molecule
DB00366,"['approved', 'vet_approved']",Doxylamine,small molecule
DB00367,"['approved', 'investigational']",Levonorgestrel,small molecule
DB00368,['approved'],Norepinephrine,small molecule
DB00369,['approved'],Cidofovir,small molecule
DB00370,['approved'],Mirtazapine,small molecule
DB00371,"['approved', 'illicit']",Meprobamate,small molecule
DB00372,"['approved', 'withdrawn']",Thiethylperazine,small molecule
DB00373,['approved'],Timolol,small molecule
DB00374,"['approved', 'investigational']",Treprostinil,small molecule
DB00375,['approved'],Colestipol,small molecule
DB00376,['approved'],Trihexyphenidyl,small molecule
DB00377,"['approved', 'investigational']",Palonosetron,small molecule
DB00378,"['approved', 'investigational', 'withdrawn']",Dydrogesterone,small molecule
DB00379,"['approved', 'investigational']",Mexiletine,small molecule
DB00380,"['approved', 'withdrawn']",Dexrazoxane,small molecule
DB00381,['approved'],Amlodipine,small molecule
DB00382,"['approved', 'investigational', 'withdrawn']",Tacrine,small molecule
DB00383,['approved'],Oxyphencyclimine,small molecule
DB00384,['approved'],Triamterene,small molecule
DB00385,['approved'],Valrubicin,small molecule
DB00387,['approved'],Procyclidine,small molecule
DB00388,['approved'],Phenylephrine,small molecule
DB00389,"['approved', 'investigational']",Carbimazole,small molecule
DB00390,['approved'],Digoxin,small molecule
DB00391,"['approved', 'investigational']",Sulpiride,small molecule
DB00392,['approved'],Profenamine,small molecule
DB00393,"['approved', 'investigational']",Nimodipine,small molecule
DB00394,"['approved', 'investigational']",Beclomethasone dipropionate,small molecule
DB00395,['approved'],Carisoprodol,small molecule
DB00396,"['approved', 'vet_approved']",Progesterone,small molecule
DB00397,"['approved', 'vet_approved', 'withdrawn']",Phenylpropanolamine,small molecule
DB00398,"['approved', 'investigational']",Sorafenib,small molecule
DB00399,['approved'],Zoledronic acid,small molecule
DB00400,"['approved', 'investigational', 'vet_approved']",Griseofulvin,small molecule
DB00401,['approved'],Nisoldipine,small molecule
DB00402,"['approved', 'investigational']",Eszopiclone,small molecule
DB00403,['approved'],Ceruletide,small molecule
DB00404,"['approved', 'illicit', 'investigational']",Alprazolam,small molecule
DB00405,['approved'],Dexbrompheniramine,small molecule
DB00406,['approved'],Gentian violet cation,small molecule
DB00407,"['approved', 'investigational', 'withdrawn']",Ardeparin,small molecule
DB00408,['approved'],Loxapine,small molecule
DB00409,"['approved', 'withdrawn']",Remoxipride,small molecule
DB00410,"['approved', 'investigational', 'vet_approved']",Mupirocin,small molecule
DB00411,['approved'],Carbamoylcholine,small molecule
DB00412,"['approved', 'investigational']",Rosiglitazone,small molecule
DB00413,"['approved', 'investigational']",Pramipexole,small molecule
DB00414,"['approved', 'investigational', 'withdrawn']",Acetohexamide,small molecule
DB00415,"['approved', 'vet_approved']",Ampicillin,small molecule
DB00416,"['approved', 'withdrawn']",Metocurine iodide,small molecule
DB00417,"['approved', 'vet_approved']",Phenoxymethylpenicillin,small molecule
DB00418,"['approved', 'vet_approved']",Secobarbital,small molecule
DB00419,['approved'],Miglustat,small molecule
DB00420,"['approved', 'vet_approved']",Promazine,small molecule
DB00421,['approved'],Spironolactone,small molecule
DB00422,"['approved', 'investigational']",Methylphenidate,small molecule
DB00423,"['approved', 'vet_approved']",Methocarbamol,small molecule
DB00424,['approved'],Hyoscyamine,small molecule
DB00425,['approved'],Zolpidem,small molecule
DB00426,"['approved', 'investigational']",Famciclovir,small molecule
DB00427,['approved'],Triprolidine,small molecule
DB00428,"['approved', 'investigational']",Streptozocin,small molecule
DB00429,['approved'],Carboprost tromethamine,small molecule
DB00430,['approved'],Cefpiramide,small molecule
DB00431,"['approved', 'withdrawn']",Lindane,small molecule
DB00432,"['approved', 'investigational']",Trifluridine,small molecule
DB00433,"['approved', 'vet_approved']",Prochlorperazine,small molecule
DB00434,['approved'],Cyproheptadine,small molecule
DB00435,['approved'],Nitric Oxide,small molecule
DB00436,['approved'],Bendroflumethiazide,small molecule
DB00437,['approved'],Allopurinol,small molecule
DB00438,['approved'],Ceftazidime,small molecule
DB00439,"['approved', 'withdrawn']",Cerivastatin,small molecule
DB00440,"['approved', 'vet_approved']",Trimethoprim,small molecule
DB00441,['approved'],Gemcitabine,small molecule
DB00442,"['approved', 'investigational']",Entecavir,small molecule
DB00443,"['approved', 'vet_approved']",Betamethasone,small molecule
DB00444,['approved'],Teniposide,small molecule
DB00445,['approved'],Epirubicin,small molecule
DB00446,"['approved', 'vet_approved']",Chloramphenicol,small molecule
DB00447,"['approved', 'investigational', 'withdrawn']",Loracarbef,small molecule
DB00448,"['approved', 'investigational']",Lansoprazole,small molecule
DB00449,['approved'],Dipivefrin,small molecule
DB00450,"['approved', 'vet_approved']",Droperidol,small molecule
DB00451,['approved'],Levothyroxine,small molecule
DB00452,['approved'],Framycetin,small molecule
DB00453,['experimental'],Clomocycline,small molecule
DB00454,['approved'],Meperidine,small molecule
DB00455,"['approved', 'investigational']",Loratadine,small molecule
DB00456,"['approved', 'investigational', 'vet_approved']",Cefalotin,small molecule
DB00457,['approved'],Prazosin,small molecule
DB00458,['approved'],Imipramine,small molecule
DB00459,['approved'],Acitretin,small molecule
DB00460,"['approved', 'investigational']",Verteporfin,small molecule
DB00461,['approved'],Nabumetone,small molecule
DB00462,['approved'],Methscopolamine bromide,small molecule
DB00463,['withdrawn'],Metharbital,small molecule
DB00464,"['approved', 'investigational']",Sodium tetradecyl sulfate,small molecule
DB00465,['approved'],Ketorolac,small molecule
DB00466,['experimental'],Picrotoxin,small molecule
DB00467,"['approved', 'investigational']",Enoxacin,small molecule
DB00468,['approved'],Quinine,small molecule
DB00469,['approved'],Tenoxicam,small molecule
DB00470,"['approved', 'illicit']",Dronabinol,small molecule
DB00471,['approved'],Montelukast,small molecule
DB00472,"['approved', 'vet_approved']",Fluoxetine,small molecule
DB00473,"['approved', 'withdrawn']",Hexylcaine,small molecule
DB00474,['approved'],Methohexital,small molecule
DB00475,"['approved', 'illicit', 'investigational']",Chlordiazepoxide,small molecule
DB00476,['approved'],Duloxetine,small molecule
DB00477,"['approved', 'investigational', 'vet_approved']",Chlorpromazine,small molecule
DB00478,"['approved', 'investigational']",Rimantadine,small molecule
DB00479,"['approved', 'investigational', 'vet_approved']",Amikacin,small molecule
DB00480,['approved'],Lenalidomide,small molecule
DB00481,"['approved', 'investigational']",Raloxifene,small molecule
DB00482,"['approved', 'investigational']",Celecoxib,small molecule
DB00483,['approved'],Gallamine triethiodide,small molecule
DB00484,['approved'],Brimonidine,small molecule
DB00485,"['approved', 'investigational', 'vet_approved']",Dicloxacillin,small molecule
DB00486,"['approved', 'investigational']",Nabilone,small molecule
DB00487,['approved'],Pefloxacin,small molecule
DB00488,['approved'],Altretamine,small molecule
DB00489,['approved'],Sotalol,small molecule
DB00490,"['approved', 'investigational']",Buspirone,small molecule
DB00491,['approved'],Miglitol,small molecule
DB00492,['approved'],Fosinopril,small molecule
DB00493,['approved'],Cefotaxime,small molecule
DB00494,"['approved', 'investigational']",Entacapone,small molecule
DB00495,['approved'],Zidovudine,small molecule
DB00496,"['approved', 'investigational']",Darifenacin,small molecule
DB00497,"['approved', 'illicit', 'investigational']",Oxycodone,small molecule
DB00498,"['approved', 'investigational']",Phenindione,small molecule
DB00499,"['approved', 'investigational']",Flutamide,small molecule
DB00500,['approved'],Tolmetin,small molecule
DB00501,"['approved', 'investigational']",Cimetidine,small molecule
DB00502,['approved'],Haloperidol,small molecule
DB00503,"['approved', 'investigational']",Ritonavir,small molecule
DB00504,['approved'],Levallorphan,small molecule
DB00505,['withdrawn'],Tridihexethyl,small molecule
DB00507,"['approved', 'investigational', 'vet_approved']",Nitazoxanide,small molecule
DB00508,"['approved', 'vet_approved']",Triflupromazine,small molecule
DB00509,"['approved', 'investigational']",Dextrothyroxine,small molecule
DB00511,['approved'],Acetyldigitoxin,small molecule
DB00512,['approved'],Vancomycin,small molecule
DB00513,"['approved', 'investigational']",Aminocaproic acid,small molecule
DB00514,['approved'],Dextromethorphan,small molecule
DB00515,['approved'],Cisplatin,small molecule
DB00516,['approved'],Bentoquatam,small molecule
